total_cost,estimated_rows,plan_width,has_where,has_join,has_group_by,has_order_by,has_aggregate,latency_ms
2083.0,74580,32,1,0,0,0,0,63.93369985744357
2333.04,4,14,0,0,1,0,1,11.324299965053797
2333.04,4,14,0,0,1,0,1,11.903899954631925
2083.0,63643,32,1,0,0,0,0,62.18559993430972
13072.56,500000,17,0,1,0,0,0,555.4091001395136
2083.0,26780,32,1,0,0,0,0,21.73479995690286
2083.0,24947,32,1,0,0,0,0,24.98469990678132
13072.56,500000,17,0,1,0,0,0,536.4898000843823
13072.56,500000,17,0,1,0,0,0,525.8762000594288
2083.0,24850,32,1,0,0,0,0,19.981199875473976
2083.0,36047,32,1,0,0,0,0,26.88880008645356
13072.56,500000,17,0,1,0,0,0,481.0032998211682
2083.0,24947,32,1,0,0,0,0,23.30169989727437
13072.56,500000,17,0,1,0,0,0,460.8617001213133
2333.04,4,14,0,0,1,0,1,11.72359986230731
2083.0,45617,32,1,0,0,0,0,30.18870018422604
9832.22,1,14,1,1,1,0,1,62.84049991518259
2083.0,60267,32,1,0,0,0,0,38.69750001467765
2083.0,58600,32,1,0,0,0,0,44.68910000286997
9832.22,1,14,1,1,1,0,1,64.13240008987486
13072.56,500000,17,0,1,0,0,0,444.354800041765
2083.0,25197,32,1,0,0,0,0,17.885599983856082
9833.29,1,14,1,1,1,0,1,62.84270016476512
9830.51,1,14,1,1,1,0,1,67.56420014426112
2083.0,25007,32,1,0,0,0,0,28.535000048577785
2333.04,4,14,0,0,1,0,1,28.088399907574058
9832.22,1,14,1,1,1,0,1,70.05639979615808
2083.0,25197,32,1,0,0,0,0,26.75299998372793
2083.0,24850,32,1,0,0,0,0,32.81709994189441
2333.04,4,14,0,0,1,0,1,25.554600171744823
2083.0,24947,32,1,0,0,0,0,22.346399957314134
13072.56,500000,17,0,1,0,0,0,436.3114000298083
2083.0,25197,32,1,0,0,0,0,20.874799927696586
2333.04,4,14,0,0,1,0,1,11.010699905455112
2083.0,24850,32,1,0,0,0,0,14.696200145408511
2083.0,24947,32,1,0,0,0,0,24.78969981893897
13072.56,500000,17,0,1,0,0,0,394.5598001591861
2333.04,4,14,0,0,1,0,1,14.642899855971336
2333.04,4,14,0,0,1,0,1,10.863499948754908
13072.56,500000,17,0,1,0,0,0,409.4585999846458
2083.0,36047,32,1,0,0,0,0,29.373399913311005
2333.04,4,14,0,0,1,0,1,11.401199968531728
13072.56,500000,17,0,1,0,0,0,391.2734999321401
2083.0,51953,32,1,0,0,0,0,30.93530004844069
13072.56,500000,17,0,1,0,0,0,392.4052999354899
2333.04,4,14,0,0,1,0,1,11.345600010827184
2083.0,25007,32,1,0,0,0,0,26.16619993932545
2333.04,4,14,0,0,1,0,1,17.915400210767984
9833.29,1,14,1,1,1,0,1,64.75460017099977
13072.56,500000,17,0,1,0,0,0,404.15699989534914
2083.0,55220,32,1,0,0,0,0,32.438499853014946
9830.51,1,14,1,1,1,0,1,62.81740008853376
2083.0,25007,32,1,0,0,0,0,26.140599977225065
2083.0,24850,32,1,0,0,0,0,21.544199902564287
9832.22,1,14,1,1,1,0,1,66.35780003853142
2333.04,4,14,0,0,1,0,1,17.696000169962645
2083.0,58600,32,1,0,0,0,0,39.85259984619916
13072.56,500000,17,0,1,0,0,0,413.1054999306798
9836.65,1,14,1,1,1,0,1,65.68860006518662
2083.0,25197,32,1,0,0,0,0,27.568399906158447
2083.0,25007,32,1,0,0,0,0,22.675800137221813
9833.29,1,14,1,1,1,0,1,70.58240007609129
13072.56,500000,17,0,1,0,0,0,416.3721001241356
2083.0,37503,32,1,0,0,0,0,25.69109993055463
2083.0,25007,32,1,0,0,0,0,14.691999880596995
13072.56,500000,17,0,1,0,0,0,446.8650000635535
9833.29,1,14,1,1,1,0,1,64.33909991756082
2083.0,47137,32,1,0,0,0,0,40.62799992971122
2083.0,25197,32,1,0,0,0,0,23.37229996919632
2333.04,4,14,0,0,1,0,1,19.063200103119016
2333.04,4,14,0,0,1,0,1,18.294299952685837
13072.56,500000,17,0,1,0,0,0,411.9281000457704
2083.0,17320,32,1,0,0,0,0,17.436600057408214
2083.0,36047,32,1,0,0,0,0,18.781099934130907
2083.0,31347,32,1,0,0,0,0,16.74510003067553
2083.0,25007,32,1,0,0,0,0,22.61069999076426
13072.56,500000,17,0,1,0,0,0,461.92959998734295
13072.56,500000,17,0,1,0,0,0,397.8377999737859
2083.0,24947,32,1,0,0,0,0,16.30779984407127
9836.65,1,14,1,1,1,0,1,62.752299942076206
2083.0,39067,32,1,0,0,0,0,35.90820007957518
2333.04,4,14,0,0,1,0,1,18.49950011819601
9830.51,1,14,1,1,1,0,1,68.79379996098578
2333.04,4,14,0,0,1,0,1,18.45539989881217
9836.65,1,14,1,1,1,0,1,68.04489996284246
13072.56,500000,17,0,1,0,0,0,412.0305001270026
2333.04,4,14,0,0,1,0,1,10.818199953064322
2083.0,82527,32,1,0,0,0,0,43.65659994073212
9836.65,1,14,1,1,1,0,1,66.13039993681014
2083.0,25007,32,1,0,0,0,0,23.288700031116605
13072.56,500000,17,0,1,0,0,0,499.9683999922127
9833.29,1,14,1,1,1,0,1,58.75710002146661
2083.0,74580,32,1,0,0,0,0,54.3681001290679
2083.0,24947,32,1,0,0,0,0,22.841700119897723
2083.0,25007,32,1,0,0,0,0,25.312300072982907
9832.22,1,14,1,1,1,0,1,68.59279982745647
2083.0,25197,32,1,0,0,0,0,27.6381999719888
2083.0,72973,32,1,0,0,0,0,50.47809984534979
2083.0,63643,32,1,0,0,0,0,45.643300050869584
2083.0,25007,32,1,0,0,0,0,30.9731001034379
9832.22,1,14,1,1,1,0,1,65.5237000901252
2083.0,24850,32,1,0,0,0,0,21.61359996534884
2083.0,88920,32,1,0,0,0,0,59.60130016319454
2083.0,25197,32,1,0,0,0,0,20.987499970942736
2083.0,79387,32,1,0,0,0,0,34.12480000406504
2083.0,26780,32,1,0,0,0,0,23.39210011996329
2083.0,24947,32,1,0,0,0,0,35.93110013753176
13072.56,500000,17,0,1,0,0,0,549.7524000238627
13072.56,500000,17,0,1,0,0,0,478.7924999836832
2083.0,25007,32,1,0,0,0,0,17.76310009881854
9832.22,1,14,1,1,1,0,1,140.43680019676685
9833.29,1,14,1,1,1,0,1,69.84640005975962
9833.29,1,14,1,1,1,0,1,75.36719995550811
13072.56,500000,17,0,1,0,0,0,454.2807000689209
2333.04,4,14,0,0,1,0,1,13.638600008562207
2083.0,25007,32,1,0,0,0,0,19.700100179761648
9830.51,1,14,1,1,1,0,1,82.55299995653331
13072.56,500000,17,0,1,0,0,0,482.5011000502855
13072.56,500000,17,0,1,0,0,0,415.8267001621425
2083.0,95297,32,1,0,0,0,0,50.13430002145469
9832.22,1,14,1,1,1,0,1,63.41599998995662
2083.0,25233,32,1,0,0,0,0,19.93179996497929
9832.22,1,14,1,1,1,0,1,72.36450002528727
2083.0,25007,32,1,0,0,0,0,24.497499922290444
2333.04,4,14,0,0,1,0,1,19.86310002394021
2083.0,24850,32,1,0,0,0,0,28.3264999743551
2083.0,22193,32,1,0,0,0,0,22.780500119552016
2083.0,25197,32,1,0,0,0,0,27.48419996351004
2333.04,4,14,0,0,1,0,1,21.330699790269136
9836.65,1,14,1,1,1,0,1,79.42610001191497
2083.0,90417,32,1,0,0,0,0,84.22129997052252
2333.04,4,14,0,0,1,0,1,18.36009998805821
2333.04,4,14,0,0,1,0,1,19.00209998711944
2333.04,4,14,0,0,1,0,1,19.19679995626211
2083.0,98410,32,1,0,0,0,0,76.19859999977052
9830.51,1,14,1,1,1,0,1,64.95560007169843
2083.0,74580,32,1,0,0,0,0,55.83159998059273
2083.0,24850,32,1,0,0,0,0,31.71690017916262
2083.0,40580,32,1,0,0,0,0,31.75690001808107
2333.04,4,14,0,0,1,0,1,21.837699925526977
2333.04,4,14,0,0,1,0,1,19.851099932566285
2083.0,25007,32,1,0,0,0,0,24.22289992682636
2083.0,63643,32,1,0,0,0,0,56.75730016082525
13072.56,500000,17,0,1,0,0,0,480.34069989807904
13072.56,500000,17,0,1,0,0,0,485.1915000472218
2083.0,20623,32,1,0,0,0,0,20.717999897897243
13072.56,500000,17,0,1,0,0,0,442.3477998934686
2083.0,25007,32,1,0,0,0,0,20.706900162622333
2083.0,72973,32,1,0,0,0,0,32.52169978804886
13072.56,500000,17,0,1,0,0,0,394.394800066948
2083.0,25007,32,1,0,0,0,0,20.562499994412065
13072.56,500000,17,0,1,0,0,0,379.0593000594527
9836.65,1,14,1,1,1,0,1,61.68660009279847
2083.0,25197,32,1,0,0,0,0,26.142300106585022
2333.04,4,14,0,0,1,0,1,19.12129996344447
2083.0,24850,32,1,0,0,0,0,21.83869993314147
2333.04,4,14,0,0,1,0,1,19.481300143525004
2333.04,4,14,0,0,1,0,1,18.96729995496571
9833.29,1,14,1,1,1,0,1,67.51450011506677
2333.04,4,14,0,0,1,0,1,19.40770004875958
2083.0,37503,32,1,0,0,0,0,33.69310009293258
2083.0,88920,32,1,0,0,0,0,64.15500002913177
9830.51,1,14,1,1,1,0,1,69.38489992171526
2083.0,24850,32,1,0,0,0,0,28.663899982348084
2083.0,25197,32,1,0,0,0,0,23.744999896734956
13072.56,500000,17,0,1,0,0,0,436.3379999995232
2083.0,24850,32,1,0,0,0,0,20.924899959936734
13072.56,500000,17,0,1,0,0,0,452.5031000375748
2083.0,23723,32,1,0,0,0,0,21.38469996862113
2083.0,90417,32,1,0,0,0,0,45.00110005028546
2083.0,25233,32,1,0,0,0,0,23.768199840560555
9836.65,1,14,1,1,1,0,1,141.75810012966394
2083.0,25197,32,1,0,0,0,0,28.76999997533858
2083.0,85630,32,1,0,0,0,0,62.89570010267198
2083.0,24947,32,1,0,0,0,0,22.783600026741624
2333.04,4,14,0,0,1,0,1,18.794399918988347
2083.0,25197,32,1,0,0,0,0,29.10279994830489
2083.0,25197,32,1,0,0,0,0,22.6245999801904
13072.56,500000,17,0,1,0,0,0,428.1029999256134
2083.0,69837,32,1,0,0,0,0,44.28779985755682
2083.0,93623,32,1,0,0,0,0,60.128499986603856
13072.56,500000,17,0,1,0,0,0,390.6596000306308
13072.56,500000,17,0,1,0,0,0,377.7578000444919
13072.56,500000,17,0,1,0,0,0,389.4460001029074
2083.0,24947,32,1,0,0,0,0,16.315000131726265
9832.22,1,14,1,1,1,0,1,70.67209994420409
13072.56,500000,17,0,1,0,0,0,409.3948001973331
13072.56,500000,17,0,1,0,0,0,406.9651998579502
2333.04,4,14,0,0,1,0,1,11.115799890831113
2333.04,4,14,0,0,1,0,1,11.085100006312132
2083.0,48740,32,1,0,0,0,0,34.90049997344613
2083.0,45617,32,1,0,0,0,0,22.118299966678023
9836.65,1,14,1,1,1,0,1,67.96059990301728
2083.0,24947,32,1,0,0,0,0,21.34420000948012
13072.56,500000,17,0,1,0,0,0,416.70030006207526
13072.56,500000,17,0,1,0,0,0,424.5949999894947
2333.04,4,14,0,0,1,0,1,11.989499907940626
13072.56,500000,17,0,1,0,0,0,406.2495999969542
13072.56,500000,17,0,1,0,0,0,377.4669000413269
2333.04,4,14,0,0,1,0,1,12.083200039342046
2333.04,4,14,0,0,1,0,1,10.97770011983812
9836.65,1,14,1,1,1,0,1,73.10970011167228
13072.56,500000,17,0,1,0,0,0,472.3720999900252
2083.0,80983,32,1,0,0,0,0,50.45690014958382
2083.0,51953,32,1,0,0,0,0,39.04940001666546
13072.56,500000,17,0,1,0,0,0,424.7755999676883
9830.51,1,14,1,1,1,0,1,58.14370000734925
2083.0,88920,32,1,0,0,0,0,63.03390022367239
13072.56,500000,17,0,1,0,0,0,427.7892999816686
9836.65,1,14,1,1,1,0,1,61.55340000987053
2333.04,4,14,0,0,1,0,1,17.86400005221367
2083.0,24850,32,1,0,0,0,0,27.748499996960163
13072.56,500000,17,0,1,0,0,0,424.2781000211835
2083.0,88920,32,1,0,0,0,0,43.63920004107058
2083.0,25197,32,1,0,0,0,0,21.143699996173385
2083.0,25197,32,1,0,0,0,0,14.868299942463636
9833.29,1,14,1,1,1,0,1,137.66949996352196
2083.0,17320,32,1,0,0,0,0,19.2605999764055
2333.04,4,14,0,0,1,0,1,22.708999924361702
13072.56,500000,17,0,1,0,0,0,475.033099995926
2083.0,82527,32,1,0,0,0,0,47.79029986821115
9836.65,1,14,1,1,1,0,1,67.05369986593723
9836.65,1,14,1,1,1,0,1,65.53740007802844
2083.0,47137,32,1,0,0,0,0,38.96630019880831
2083.0,51953,32,1,0,0,0,0,49.66480005532503
2333.04,4,14,0,0,1,0,1,10.947200004011393
2083.0,24850,32,1,0,0,0,0,15.885600121691825
2333.04,4,14,0,0,1,0,1,12.149499962106349
2333.04,4,14,0,0,1,0,1,18.522099824622277
13072.56,500000,17,0,1,0,0,0,413.45039987936616
2083.0,24947,32,1,0,0,0,0,24.46989994496107
2083.0,28253,32,1,0,0,0,0,15.759199857711792
13072.56,500000,17,0,1,0,0,0,427.4135001469404
2083.0,25007,32,1,0,0,0,0,21.80870017036796
13072.56,500000,17,0,1,0,0,0,392.9293002001941
2083.0,25197,32,1,0,0,0,0,22.140200017020103
2333.04,4,14,0,0,1,0,1,11.624400038272142
2083.0,26780,32,1,0,0,0,0,14.949599979445338
2083.0,24947,32,1,0,0,0,0,21.19089988991618
13072.56,500000,17,0,1,0,0,0,464.2306000459939
9830.51,1,14,1,1,1,0,1,62.79060011729598
2083.0,93623,32,1,0,0,0,0,68.27710010111332
2333.04,4,14,0,0,1,0,1,11.09890011139214
13072.56,500000,17,0,1,0,0,0,394.56279994919896
13072.56,500000,17,0,1,0,0,0,398.1033000163734
2083.0,25197,32,1,0,0,0,0,16.972400015220046
2083.0,25233,32,1,0,0,0,0,20.850100088864565
13072.56,500000,17,0,1,0,0,0,437.8098000306636
2083.0,53563,32,1,0,0,0,0,32.76020009070635
2083.0,24850,32,1,0,0,0,0,14.34050011448562
2083.0,25197,32,1,0,0,0,0,19.8015000205487
2333.04,4,14,0,0,1,0,1,19.800599897280332
13072.56,500000,17,0,1,0,0,0,410.56879982352257
2083.0,25197,32,1,0,0,0,0,21.512899780645967
2083.0,24947,32,1,0,0,0,0,14.316799817606809
2083.0,24947,32,1,0,0,0,0,16.569799976423383
9830.51,1,14,1,1,1,0,1,73.21579987183213
2083.0,93623,32,1,0,0,0,0,66.07639999128878
2333.04,4,14,0,0,1,0,1,20.41970007121563
2333.04,4,14,0,0,1,0,1,17.856799997389317
2083.0,43903,32,1,0,0,0,0,40.10509978979826
2333.04,4,14,0,0,1,0,1,19.871999975293875
2083.0,24850,32,1,0,0,0,0,23.23630009777844
2083.0,24947,32,1,0,0,0,0,30.21170012652874
2333.04,4,14,0,0,1,0,1,24.063700111582875
2083.0,25007,32,1,0,0,0,0,24.18720000423491
2333.04,4,14,0,0,1,0,1,19.176200032234192
2333.04,4,14,0,0,1,0,1,19.03470000252128
2083.0,25197,32,1,0,0,0,0,24.539800127968192
2083.0,80983,32,1,0,0,0,0,62.85120011307299
13072.56,500000,17,0,1,0,0,0,401.1440000031144
2083.0,25197,32,1,0,0,0,0,21.849000127986077
9833.29,1,14,1,1,1,0,1,61.000300105661154
13072.56,500000,17,0,1,0,0,0,409.5195000991225
13072.56,500000,17,0,1,0,0,0,397.0849001780152
2333.04,4,14,0,0,1,0,1,12.348799966275692
2083.0,25197,32,1,0,0,0,0,23.530400125309825
2083.0,25197,32,1,0,0,0,0,27.09290012717247
2333.04,4,14,0,0,1,0,1,19.96319997124374
2333.04,4,14,0,0,1,0,1,21.897000027820468
9833.29,1,14,1,1,1,0,1,71.25160004943609
2333.04,4,14,0,0,1,0,1,19.8488999158144
9833.29,1,14,1,1,1,0,1,66.28989987075329
2083.0,63643,32,1,0,0,0,0,43.21429994888604
2083.0,24947,32,1,0,0,0,0,24.542500032112
9833.29,1,14,1,1,1,0,1,69.52979997731745
2083.0,72973,32,1,0,0,0,0,52.909799851477146
2083.0,25197,32,1,0,0,0,0,36.07470006681979
2083.0,24947,32,1,0,0,0,0,23.492499953135848
9833.29,1,14,1,1,1,0,1,72.32940010726452
2083.0,25007,32,1,0,0,0,0,25.585400173440576
2333.04,4,14,0,0,1,0,1,22.763000102713704
13072.56,500000,17,0,1,0,0,0,520.1366001274437
9832.22,1,14,1,1,1,0,1,61.77129992283881
13072.56,500000,17,0,1,0,0,0,510.877399938181
2083.0,90417,32,1,0,0,0,0,45.97229999490082
2333.04,4,14,0,0,1,0,1,12.887299992144108
13072.56,500000,17,0,1,0,0,0,413.6737999506295
2333.04,4,14,0,0,1,0,1,13.79550015553832
9833.29,1,14,1,1,1,0,1,67.57149985060096
2083.0,25197,32,1,0,0,0,0,28.3462000079453
13072.56,500000,17,0,1,0,0,0,659.8089998587966
9830.51,1,14,1,1,1,0,1,62.88930005393922
13072.56,500000,17,0,1,0,0,0,571.8218998517841
2083.0,25007,32,1,0,0,0,0,25.867599993944168
2333.04,4,14,0,0,1,0,1,11.6542000323534
2333.04,4,14,0,0,1,0,1,12.720400001853704
9836.65,1,14,1,1,1,0,1,65.51770004443824
2083.0,25007,32,1,0,0,0,0,31.92470013163984
13072.56,500000,17,0,1,0,0,0,572.0200999639928
2083.0,25197,32,1,0,0,0,0,27.28749997913837
2083.0,24850,32,1,0,0,0,0,18.673900049179792
13072.56,500000,17,0,1,0,0,0,597.6330998819321
2333.04,4,14,0,0,1,0,1,11.299100005999207
9836.65,1,14,1,1,1,0,1,66.14509993232787
2083.0,24850,32,1,0,0,0,0,43.57960005290806
2083.0,60267,32,1,0,0,0,0,64.32470004074275
2083.0,26780,32,1,0,0,0,0,18.739999970421195
13072.56,500000,17,0,1,0,0,0,554.5086001511663
2083.0,24947,32,1,0,0,0,0,31.716799829155207
9836.65,1,14,1,1,1,0,1,79.15670005604625
13072.56,500000,17,0,1,0,0,0,750.6919000297785
2083.0,36047,32,1,0,0,0,0,34.85119994729757
2083.0,24947,32,1,0,0,0,0,19.47350008413196
9836.65,1,14,1,1,1,0,1,76.54900010675192
2083.0,24947,32,1,0,0,0,0,30.20859998650849
9830.51,1,14,1,1,1,0,1,74.2560001090169
2083.0,24850,32,1,0,0,0,0,34.349000081419945
2333.04,4,14,0,0,1,0,1,19.16030002757907
13072.56,500000,17,0,1,0,0,0,659.1037998441607
2083.0,85630,32,1,0,0,0,0,60.56699994951487
13072.56,500000,17,0,1,0,0,0,580.1921000238508
9833.29,1,14,1,1,1,0,1,72.11369997821748
9836.65,1,14,1,1,1,0,1,77.73799984715879
2083.0,93623,32,1,0,0,0,0,105.950600001961
9836.65,1,14,1,1,1,0,1,89.25479999743402
13072.56,500000,17,0,1,0,0,0,659.2733000870794
2083.0,25197,32,1,0,0,0,0,26.705099968239665
2333.04,4,14,0,0,1,0,1,11.127900099381804
2083.0,28253,32,1,0,0,0,0,21.15600020624697
13072.56,500000,17,0,1,0,0,0,609.2238000128418
2083.0,24850,32,1,0,0,0,0,28.825700050219893
2083.0,55220,32,1,0,0,0,0,35.22100020200014
2083.0,58600,32,1,0,0,0,0,62.14040005579591
13072.56,500000,17,0,1,0,0,0,571.553299902007
2333.04,4,14,0,0,1,0,1,11.915799928829074
9832.22,1,14,1,1,1,0,1,74.1745000705123
2333.04,4,14,0,0,1,0,1,22.395900217816237
13072.56,500000,17,0,1,0,0,0,585.5664999689907
2083.0,25197,32,1,0,0,0,0,27.696599951013923
2333.04,4,14,0,0,1,0,1,11.428200174123049
2083.0,24850,32,1,0,0,0,0,17.077399883419275
13072.56,500000,17,0,1,0,0,0,596.2364999577403
2083.0,28253,32,1,0,0,0,0,33.3014999050647
9836.65,1,14,1,1,1,0,1,105.31809995882212
2083.0,25197,32,1,0,0,0,0,32.583999913185835
2083.0,24947,32,1,0,0,0,0,29.886700212955475
2333.04,4,14,0,0,1,0,1,19.554700003936887
2083.0,25197,32,1,0,0,0,0,33.185699954628944
9833.29,1,14,1,1,1,0,1,66.97170017287135
2083.0,88920,32,1,0,0,0,0,92.4784999806434
9833.29,1,14,1,1,1,0,1,140.95609984360635
9830.51,1,14,1,1,1,0,1,73.53269984014332
2333.04,4,14,0,0,1,0,1,21.066399989649653
9832.22,1,14,1,1,1,0,1,70.32200018875301
2333.04,4,14,0,0,1,0,1,20.96869982779026
2083.0,25007,32,1,0,0,0,0,43.40439988300204
9830.51,1,14,1,1,1,0,1,82.52590009942651
13072.56,500000,17,0,1,0,0,0,629.6178000047803
13072.56,500000,17,0,1,0,0,0,637.8504000604153
9830.51,1,14,1,1,1,0,1,133.0824000760913
9832.22,1,14,1,1,1,0,1,81.64340001530945
13072.56,500000,17,0,1,0,0,0,617.8422002121806
2333.04,4,14,0,0,1,0,1,11.893500108271835
2083.0,84117,32,1,0,0,0,0,67.00549996457994
2083.0,24850,32,1,0,0,0,0,18.81029992364347
9832.22,1,14,1,1,1,0,1,81.32290001958609
2333.04,4,14,0,0,1,0,1,21.280499873682857
2333.04,4,14,0,0,1,0,1,18.325999844819307
13072.56,500000,17,0,1,0,0,0,638.2124000228941
2083.0,66793,32,1,0,0,0,0,62.61170003563166
9832.22,1,14,1,1,1,0,1,111.09499982558192
9832.22,1,14,1,1,1,0,1,126.74849992617963
13072.56,500000,17,0,1,0,0,0,657.1520001161844
13072.56,500000,17,0,1,0,0,0,619.0092999022454
2333.04,4,14,0,0,1,0,1,14.506399864330888
2083.0,24850,32,1,0,0,0,0,22.866599960252643
2083.0,25197,32,1,0,0,0,0,40.38399993441999
2333.04,4,14,0,0,1,0,1,17.921500140801072
2333.04,4,14,0,0,1,0,1,21.45700016990304
2333.04,4,14,0,0,1,0,1,19.6067001670599
2083.0,25007,32,1,0,0,0,0,31.857999972999096
2083.0,34510,32,1,0,0,0,0,42.21610003151
2083.0,36047,32,1,0,0,0,0,47.00280004180968
2083.0,25007,32,1,0,0,0,0,34.62040005251765
9836.65,1,14,1,1,1,0,1,80.15879988670349
2083.0,63643,32,1,0,0,0,0,73.04749987088144
2083.0,28253,32,1,0,0,0,0,21.30259992554784
2333.04,4,14,0,0,1,0,1,12.099500047042966
13072.56,500000,17,0,1,0,0,0,602.891799993813
2333.04,4,14,0,0,1,0,1,11.328699998557568
13072.56,500000,17,0,1,0,0,0,592.5644000526518
2333.04,4,14,0,0,1,0,1,11.917599942535162
9830.51,1,14,1,1,1,0,1,77.46859989129007
13072.56,500000,17,0,1,0,0,0,659.5793000888079
13072.56,500000,17,0,1,0,0,0,650.1686000265181
2083.0,24947,32,1,0,0,0,0,23.090299917384986
2083.0,24947,32,1,0,0,0,0,32.91519987396896
2333.04,4,14,0,0,1,0,1,12.234299909323454
2333.04,4,14,0,0,1,0,1,11.240399908274412
2083.0,25197,32,1,0,0,0,0,24.804200045764446
13072.56,500000,17,0,1,0,0,0,695.72259997949
2083.0,25197,32,1,0,0,0,0,32.07290009595454
13072.56,500000,17,0,1,0,0,0,633.1772999837995
2333.04,4,14,0,0,1,0,1,11.350200045853851
9832.22,1,14,1,1,1,0,1,86.28119993954897
13072.56,500000,17,0,1,0,0,0,636.6477999836206
9836.65,1,14,1,1,1,0,1,83.49359990097582
9830.51,1,14,1,1,1,0,1,92.67510008066893
13072.56,500000,17,0,1,0,0,0,630.351800005883
13072.56,500000,17,0,1,0,0,0,621.9684998504817
13072.56,500000,17,0,1,0,0,0,656.3617000356317
2333.04,4,14,0,0,1,0,1,12.278599897399545
2083.0,53563,32,1,0,0,0,0,52.85799992270768
2083.0,74580,32,1,0,0,0,0,51.22579983435571
